,album,artist,duration_ms,energy,genredanceability,instrumentalness,key,liveness,loudness,mode,popularity,speechiness,tempo,time_signature,track_id,track_name,valence
957,Love,Dream on Dreamer,223784,0.938,,1.11e-06,3,0.124,-3.719,0,45.0,0.126,110.981,4,4JI13SOWIzJJ47oR1hqpZA,Love,0.476
958,Don't Wait for Me,TheCityIsOurs,202000,0.89,,0.0208,1,0.162,-4.284,0,34.0,0.0455,149.928,4,6jFv5cT5i91tb5YZrDqPAx,Don't Wait for Me,0.365
959,PROXY: An A.N.I.M.O. Story,Being As An Ocean,242324,0.905,,5.31e-05,4,0.163,-5.634,0,43.0,0.14,175.052,4,0pRERL5jvh0FWQnevnzFiw,Play Pretend,0.296
960,Mr. Pain,Dayshell,263440,0.87,,0.00138,7,0.109,-4.411,0,45.0,0.0719,87.014,4,4MA6wZfoVrJ0kzXDWg6AFS,Pressure,0.511
961,Of Silk and Straw,Resolve,225250,0.994,,0.671,6,0.12,-1.445,1,41.0,0.186,90.025,4,1FojA4DjaeIwVDPYAiHa7v,Of Silk and Straw,0.154
962,Don't Leave Me This Way,Ocean Sleeper,196542,0.982,,0,2,0.4,-3.205,0,41.0,0.0768,159.922,4,7I8vfVJlOy0aAuLigfC6eA,Light In My Dark,0.457
963,Reverence,Parkway Drive,255231,0.964,,0.0247,6,0.525,-4.545,1,63.0,0.0866,99.731,3,7lMFAK8dv0QkWpIlZcWQlJ,Prey,0.325
964,Dark Skies,Fit For A King,287999,0.95,,1.13e-05,1,0.0716,-4.351,0,57.0,0.102,187.955,4,13zKsRskPB1TD9lWtbMoXH,The Price of Agony,0.401
965,TRAUMA,I Prevail,223173,0.885,,0.000311,6,0.202,-5.063,0,71.0,0.0551,164.989,4,2GFwwTIVLjnOrtP7m9luHC,Hurricane,0.187
966,THE SIDE EFFECTS,coldrain,227012,0.97,,0,10,0.246,-4.576,0,63.0,0.209,121.054,4,2wJJNgD6GrKoQ435VxTRv6,MAYDAY (feat. Ryo from Crystal Lake),0.488
967,Alien,Northlane,205667,0.964,,0.196,6,0.137,-6.78,1,56.0,0.0992,97.492,4,2gYLeC5Ikd8DFSJfwGZJp3,Bloodline,0.404
968,Silence Means Nothing (feat. Liam Cormier),River Becomes Ocean,180811,0.972,,3.49e-05,8,0.631,-3.915,1,0.0,0.0831,147.969,4,1iG8AeszL0CUIp6ryOG1za,Silence Means Nothing (feat. Liam Cormier),0.302
969,I Am Here,Watch Out Stampede,173594,0.969,,0,10,0.673,-5.604,0,33.0,0.204,164.224,4,4t4w41Ie7tvOWwpPE9He7R,I Am Here,0.431
970,Disease (Deluxe Edition),Beartooth,237202,0.977,,0.0048,0,0.0567,-4.191,0,0.0,0.106,112.5,4,4oEWVO3qKm3KfOcuJPAEJQ,Threat To Society,0.198
971,Super Human,Siamese,233600,0.78,,1.03e-06,6,0.161,-9.489,0,48.0,0.0362,150.095,4,3f5DLFAWppl2u9ac4eykHQ,Ocean Bed,0.481
972,Turn the Light On,Imminence,232184,0.983,,0.105,1,0.111,-5.632,1,5.0,0.235,134.924,4,6ekLJFByz6HJcW601RH1AD,Lighthouse,0.17
973,Holy Hell,Architects,248880,0.979,,2.56e-05,2,0.153,-4.214,1,62.0,0.159,125.038,4,75R95k0ICuZBFVEjBauOtt,Doomsday,0.179
974,Hard Feelings,blessthefall,198243,0.989,,0.0485,1,0.323,-5.121,1,56.0,0.171,148.036,4,4mcDGYrrPukWNhO44w4EUr,Cutthroat,0.192
975,Chemical,Thousand Below,230597,0.871,,0.000121,5,0.196,-5.074,0,38.0,0.0564,133.972,4,2gZBMKowBbMRu12M0Xmlp2,Chemical,0.405
976,Give Me a Reason,Versus Me,236160,0.939,,6.65e-05,4,0.392,-3.331,0,35.0,0.0937,125.026,3,4yQrP2oAtSpPl51T499HG4,Give Me a Reason,0.153
977,Erase Me,Underoath,190840,0.944,,0.000498,1,0.201,-4.215,1,47.0,0.0739,165.047,4,11kXjnwkLFOCGZJoRmlBHe,On My Teeth,0.131
978,Sudden Sky,Crown The Empire,241218,0.925,,0.00923,8,0.413,-4.239,1,46.0,0.0708,196.931,4,1MEBTRzovGtlBfHBsOJJC3,20/20,0.492
979,Erase The Pain,Palisades,178245,0.958,,2.41e-06,9,0.0641,-4.236,0,53.0,0.0953,90.036,4,1Hig5qOTDmX4Erqpmk54xq,War,0.254
980,Fantasy,LANDMVRKS,252923,0.984,,4.02e-05,6,0.0997,-3.309,0,0.0,0.119,129.986,4,1kYekI3u7UZYsWrrtQ5xq4,Scars (feat. Florestan Durand),0.173
981,Down,Betraying The Martyrs,206763,0.973,,0.301,2,0.354,-3.572,1,36.0,0.1,175.017,4,0AW4s0lEvbGqBYG9jwgxIR,Down,0.387
982,In Our Wake,Atreyu,199959,0.944,,0.000328,8,0.278,-3.665,1,62.0,0.231,165.02,4,4Q9uL0DWDcpCV1tE14xqnt,The Time Is Now,0.396
983,Eclipse,Wolves At The Gate,172733,0.977,,0,1,0.591,-3.535,1,49.0,0.0506,95.009,4,02KS93L0i9PxtP17FAfDCN,Counterfeit,0.333
984,Let Light Overcome,Our Last Night,192492,0.915,,0.0375,7,0.135,-5.809,1,43.0,0.0746,197.072,4,18nvwlDz0cvwTjdvjlIMNy,Soul Speak,0.477
985,Geist,The Browning,217371,0.946,,0.00444,7,0.168,-4.629,1,45.0,0.099,175.361,4,1v13AdbiXfNVmkO27GfEAa,Final Breath,0.171
986,Evergreen,After The Burial,274314,0.975,,0.626,1,0.245,-4.754,0,54.0,0.116,102.465,4,4sIPJ0x9xEabKrsGxDP2kb,Behold The Crown,0.143
987,Gravity,Caliban,269213,0.96,,6.08e-05,0,0.803,-5.342,1,46.0,0.115,144.985,4,1wk5J5wnnir7oXFwqWSQKC,Paralyzed,0.0662
988,Unsainted,Slipknot,260276,0.944,,0.0159,7,0.0625,-2.885,1,1.0,0.0565,101.078,4,2093eVNfimjmNjU1gk1ES7,Unsainted,0.248
989,Uncontrollable Descent,Emmure,183000,0.957,,0.102,10,0.742,-7.69,1,6.0,0.124,180.08,4,2Qx1JaKXKhc2oHip5a5tpC,Uncontrollable Descent,0.462
990,Paramount,August Burns Red,288947,0.968,,0.0699,7,0.136,-4.902,1,0.0,0.173,156.293,4,69lilM6Qi9M1rxmnZnCdEV,Paramount,0.237
991,One Folk,Equilibrium,277417,0.951,,0.109,11,0.372,-8.108,0,51.0,0.149,179.901,4,4XrS0iZ8T1epgvCcAFRtt1,One Folk,0.147
992,Outsider,Veil Of Maya,249468,0.971,,9.45e-05,4,0.316,-3.797,0,55.0,0.0964,140.02,3,2UJ7e55bObCYCqpBkehnsr,Outsider,0.207
993,A,The Acacia Strain,230098,0.995,,0.0445,1,0.135,-3.317,0,43.0,0.082,136.306,4,3z8TRLd6xQNr7c74SR3zp9,Chhinnamasta,0.0668
994,Dystopia,In Hearts Wake,205684,0.97,,3.07e-06,2,0.314,-3.483,1,43.0,0.134,126.654,3,5bRd3DF04r4vCZjFefBGVe,Dystopia,0.255
995,Destruction or Strength,As I Lay Dying,255625,0.973,,0.564,8,0.0763,-5.887,1,49.0,0.173,119.945,4,4ZMZ2YgMRAbTtaCYIksyMa,Destruction or Strength,0.0394
996,Bleeding Sun,Chelsea Grin,219692,0.983,,0.0598,11,0.423,-4.189,1,53.0,0.241,130.055,4,6bsxDgpU5nlcHNZYtsfZG8,Bleeding Sun,0.139
997,Swallowing the Rabbit Whole / Underneath,Code Orange,227981,0.973,,0.0327,1,0.182,-2.103,1,0.0,0.171,148.847,3,6u8PCXg9mW3bCNLbqJMGTP,Swallowing the Rabbit Whole,0.453
998,Finding God Before God Finds Me (Deluxe),Bad Omens,207854,0.968,,4.37e-05,5,0.113,-3.316,1,57.0,0.418,103.005,4,6yyNJbdf5ysREkntoCqPTz,Limits,0.3
999,666 - World Divided,Kreator,284715,0.959,,0.00678,7,0.178,-5.875,1,50.0,0.0612,97.974,4,2OsCkXO8524Qxwe1pR3eAb,666 - World Divided,0.365
1000,Tū,Alien Weaponry,395500,0.926,,0.0056,6,0.189,-6.713,1,48.0,0.102,90.956,4,0YWyKtLAlmVjryfY6CSxYE,Kai Tangata,0.142
1001,"Project Regeneration, Vol. 1",Static-X,193747,0.986,,0.876,5,0.426,-6.373,1,47.0,0.0784,139.918,4,3dpuDgfz7CDoSmM9pllsqW,Terminator Oscillator,0.426
1002,Landmine,Polaris,228815,0.984,,4.48e-06,6,0.162,-2.629,1,0.0,0.2,194.001,4,3oRUA2RUnWLMczM1Niizbw,Landmine,0.363
1003,Eradicate,Heaven Shall Burn,272443,0.985,,0.884,0,0.35,-4.001,1,34.0,0.084,92.514,4,6elKaHglJ8GwzTx8f29vIq,Eradicate,0.324
1004,Entertain You,Within Temptation,211045,0.878,,2.19e-06,1,0.218,-4.341,0,58.0,0.0403,137.114,4,70HVKogWbgiA4XaXa2GowH,Entertain You,0.597
1005,Hate Me,If I Were You,163666,0.97,,0.000436,1,0.379,-3.492,1,37.0,0.155,108.022,4,0o1xFFmHjfY2OXY0rGDNZE,Hate Me,0.373
1006,Night of the Witch,Testament,392067,0.995,,0.165,11,0.316,-4.997,1,0.0,0.142,118.049,4,4TLsVTvwf3FXV13JdLmh1j,Night of the Witch,0.038
1007,Eternal Forward Motion,Employed To Serve,229373,0.988,,1.21e-05,1,0.462,-3.367,1,34.0,0.141,168.629,4,4uKWBprG54xfDhgnmhM7FI,Eternal Forward Motion,0.207
1008,Inside Out,Five Finger Death Punch,226349,0.991,,0.0,4,0.121,-2.855,0,63.0,0.15,82.997,4,4Htt3QaBWdLggq88rJI5MU,Inside Out,0.202
1009,Killing Me Slowly,Bad Wolves,237065,0.89,,2.98e-06,1,0.204,-4.175,0,59.0,0.0774,137.973,4,6E5gsJm3t0RqmiHBfUBaya,Killing Me Slowly,0.276
1010,You'll Never Find Me,Korn,220881,0.903,,0.124,8,0.187,-5.013,1,0.0,0.0786,107.028,4,619hpcXgBy1EOwOT27cn5s,You'll Never Find Me,0.177
1011,Fear Tomorrow,Fit For An Autopsy,269381,0.972,,7.15e-06,11,0.335,-5.017,0,47.0,0.155,91.921,3,113EVghey6uEB0wyplsY5F,Fear Tomorrow,0.0761
1012,Falling Apart,Captives,273257,0.916,,0.0,5,0.0884,-5.942,0,53.0,0.0743,175.082,4,7AswPAZDUUgkmELlrxDkNl,Falling Apart,0.345
1013,Demolisher,Slaughter to Prevail,216000,0.991,,1.92e-05,9,0.0936,-2.152,1,62.0,0.235,100.022,4,2ZNu55CIrGd8psBWZmw8WY,Demolisher,0.0596
1014,Splinters from an Ever-Changing Face,END,209940,0.911,,0.00269,0,0.299,-3.404,1,40.0,0.0556,138.149,4,4NaYTAuIouqO0uzJqlN5l2,Pariah,0.323
1015,Obsidian,Viscera,291923,0.718,,0.641,8,0.0438,-7.094,1,43.0,0.0505,130.026,4,6seM27tkVi4mpADMxar5iL,Obsidian,0.301
1016,City Burials,Katatonia,282107,0.453,,3.93e-05,0,0.104,-11.677,0,46.0,0.033,120.024,3,0qA9j2IpP4voAIj9FXxHeb,Lacquer,0.179
1017,I Am Alive,Primal Fear,274827,0.98,,0.00191,7,0.0758,-4.011,1,12.0,0.102,110.023,4,3AZoyMf5d6CvZowm2sa5y4,I Am Alive,0.0422
1018,Resentment,A Day To Remember,227267,0.952,,4.16e-05,9,0.0544,-3.285,0,68.0,0.167,122.988,4,57yI1u6t6cFXbjgjQcRHug,Resentment,0.17
1019,Rising Fire,Firewind,206427,0.887,,0.0,2,0.0588,-4.272,1,45.0,0.0626,119.948,4,5uEOhWDWr4gN9YMgZNVGRB,Rising Fire,0.387
1020,Noise,Nightwish,340281,0.85,,0.00515,2,0.121,-7.759,1,1.0,0.0493,76.976,4,2a3sZJP4uTrNQbj0EdiUuV,Noise,0.434
1021,Hornet's Nest,Power Trip,279811,0.982,,0.289,4,0.661,-3.912,1,53.0,0.121,171.928,4,12twP0oGdOTzmxLd0CoGs3,Hornet's Nest,0.241
1022,Popular Monster,Falling In Reverse,220537,0.897,,0.0,3,0.0965,-3.982,0,77.0,0.092,165.107,4,4GssB27iJeqmfGxS94Tfij,Popular Monster,0.358
1023,Soak Me in Bleach,The Amity Affliction,225916,0.91,,0.0,0,0.18,-5.283,1,12.0,0.151,165.355,4,1tS3YIyOAczsBzjub9PrZj,Soak Me in Bleach,0.188
1024,No Absolution,Lost Society,249893,0.94,,0.00861,9,0.18,-4.74,1,44.0,0.0532,124.027,4,3TG250zay6SvwFwQpEqnEr,No Absolution,0.425
1025,FAKERS PLAGUE,While She Sleeps,353806,0.876,,0.000146,6,0.157,-5.35,0,56.0,0.098,119.091,4,2S9vwztrbTtQzplp0y2QBQ,FAKERS PLAGUE,0.117
1026,Sundowning,Sleep Token,349653,0.861,,0.0559,6,0.0907,-6.836,1,53.0,0.0477,135.055,4,7N0DvWyvki3UkzJLxOoael,The Offering,0.377
1027,Viva La Victoria,Eclipse,191670,0.944,,1.48e-06,4,0.103,-6.161,1,56.0,0.0522,135.076,4,0TpukZ7KJGyxYGFe6AgtOD,Viva La Victoria,0.572
1028,Fear Inoculum,TOOL,713192,0.529,,0.755,9,0.11,-9.338,0,66.0,0.0315,114.116,1,03sEzk1VyrUZSgyhoQR0LZ,Pneuma,0.0561
1029,The Night,Black Veil Brides,209480,0.94,,0.293,8,0.349,-6.105,0,52.0,0.0682,145.987,4,1Hy0m0aaG67ttQZoytmKd8,The Vengeance,0.356
1030,Curse of the Crystal Coconut (Deluxe Version),Alestorm,254825,0.951,,6.94e-05,6,0.0618,-5.825,1,49.0,0.0624,74.999,4,36hc4eBjRD71wLPRu8EM6h,Fannybaws,0.675
1031,It's A Raid (feat. Post Malone),Ozzy Osbourne,260017,0.996,,0.0,1,0.392,-0.578,1,51.0,0.16,117.004,4,25Rdrp7aqTB3x3coVETp0N,It's A Raid (feat. Post Malone),0.114
1032,Verminous,The Black Dahlia Murder,229808,0.943,,0.86,1,0.806,-7.368,1,37.0,0.156,115.02,4,5L00SssgkYwcf0kpeTglvW,Verminous,0.199
1033,On the Top,Jinjer,328138,0.959,,0.0162,2,0.377,-5.118,1,35.0,0.105,82.415,4,4bGohc8Fun0Z1lnrqbTqIj,On the Top,0.179
1034,Taste of Regret,Of Mice & Men,208272,0.981,,0.00353,8,0.373,-3.529,1,43.0,0.048,105.011,4,2qteWVf7459okiPxGwgyez,Taste of Regret,0.39
1035,The Red Baron,Sabaton,202333,0.97,,0.0,0,0.0741,-5.853,0,0.0,0.42,95.047,4,2nb7KVajlFlcJG2mAZiDuG,The Red Baron,0.196
1036,Love Me to Death,Suicide Silence,255034,0.991,,0.848,9,0.311,-4.521,1,0.0,0.159,137.216,4,4CqiQWMP6T0SL1aGSmsFqZ,Love Me to Death,0.105
1037,Save Me,Skillet,223241,0.888,,0.0,1,0.214,-3.985,0,0.0,0.0377,96.033,4,4pJM8ZZ3YIO4xOeD5k8s5P,Save Me,0.446
1038,Bum-Rush,Body Count,203560,0.967,,0.000785,8,0.308,-1.721,1,32.0,0.0995,141.336,4,73bmOCsiM754mJ6fdUUQ1C,Bum-Rush,0.351
1039,Crack of Doom (feat. Troy Sanders),Kvelertak,233929,0.977,,0.892,1,0.105,-6.489,0,30.0,0.124,159.81,4,3hF0Kw2yIWzG7AOH7FK2If,Crack of Doom (feat. Troy Sanders),0.28
1040,RAMMSTEIN,Rammstein,277397,0.894,,0.00381,0,0.124,-5.145,0,67.0,0.0409,132.03,4,5vZ4IeUenK2cHub2d7yfWk,RADIO,0.76
1041,We Are Not Your Kind,Slipknot,315177,0.978,,0.000525,7,0.138,-2.358,1,69.0,0.0846,129.842,4,56fiFTRrSiHHH3gBeaTg2P,Nero Forte,0.496
1042,Carry the Weight / From the First Note,We Came As Romans,229267,0.952,,0.000755,1,0.2,-4.049,1,54.0,0.0493,127.151,4,17aUTUaDHrwv49PViccjy9,Carry the Weight,0.31
1043,Flawed Design,Saint Asonia,249088,0.955,,3.19e-06,9,0.407,-4.634,1,56.0,0.163,198.782,4,6IlCkH8LtFOMuuORRXMbZE,Blind,0.37
1044,Disguise,Motionless In White,205394,0.939,,0.0,4,0.0968,-3.828,0,70.0,0.0787,161.997,4,0YZEYxd1oiqZRFhnnmTKKi,Another Life,0.495
1045,Reckless,Lacuna Coil,185067,0.89,,0.0106,11,0.21,-3.469,0,43.0,0.0608,158.053,4,7hEk5UTV73GwV9mjw8fBy8,Reckless,0.313
1046,Atonement,Killswitch Engage,185067,0.984,,4.99e-06,5,0.349,-4.222,1,55.0,0.0672,103.963,4,2Fup9XFE9sXWu9Qft2Q7ZB,The Signal Fire (feat. Howard Jones),0.192
1047,Hollowed Heart,Make Them Suffer,231959,0.985,,0.000454,11,0.152,-2.878,1,0.0,0.159,90.302,4,7HZHFE3NN7uQgf9JRRN3Hh,Hollowed Heart,0.35
1048,All Pride No Pain,Upon A Burning Body,207399,0.933,,0.359,4,0.264,-6.072,0,43.0,0.198,108.041,4,2jwkM797DoehZMTIqB1BHI,All Pride No Pain,0.159
1049,DEUTSCHLAND,Rammstein,322340,0.895,,0.349,7,0.0985,-5.242,1,68.0,0.0442,120.117,4,1T8IRUJBga0JXioJZvxjBR,DEUTSCHLAND,0.237
1050,Oh My God,HELLYEAH,252689,0.975,,0.0,6,0.248,-2.912,0,46.0,0.198,159.455,3,5KeMe6s7NC1h9Xg7CgDbYO,Oh My God,0.35
1051,Fade,Catch Your Breath,205750,0.873,,2.2e-06,2,0.0681,-5.628,1,43.0,0.105,119.978,4,6GS7dWKyY8vCJHaThLZVEz,Fade,0.204
1052,Leave It All Behind,Sleeping With Sirens,198248,0.925,,0.000345,2,0.122,-4.008,0,53.0,0.121,97.495,4,6nMNpGl4VvMhtYigbbOmBu,Leave It All Behind,0.308
1053,Metal Division,Mystic Prophecy,201960,0.925,,0.000109,1,0.139,-4.483,1,37.0,0.0653,94.975,4,2W1BrF8bIClOOZEjMTTOeI,Dracula,0.528
1054,Legends from Beyond the Galactic Terrorvortex,Gloryhammer,230293,0.946,,2.41e-05,10,0.708,-4.756,1,53.0,0.0987,185.03,4,5gJ1DNzFHwNFlEw1UltyFk,Hootsforce,0.644
1055,Wintersaga,Wind Rose,315986,0.942,,0.238,8,0.158,-5.175,1,57.0,0.0483,125.006,4,0FDY2EHOv32kUoqplU1hdY,Diggy Diggy Hole,0.651
1056,Emblas Saga,Brothers of Metal,230319,0.855,,8.65e-05,0,0.0881,-7.386,1,50.0,0.0532,100.039,4,3z3NxilFXnpdwl2zBhENmB,Njord,0.435
1057,"Ballistic, Sadistic",Annihilator,266015,0.974,,0.0149,1,0.231,-4.481,0,43.0,0.105,199.999,4,7CMBg4DxJSfDCcGDsRnzqM,Armed To The Teeth,0.521
1058,H.E.A.T II,H.E.A.T,246827,0.975,,8.75e-05,1,0.228,-3.798,1,41.0,0.13,172.023,4,0hGw6iEofYncs0hMTT09Dm,Dangerous Ground,0.645
1059,THE SIDE EFFECTS,coldrain,227012,0.97,,0.0,10,0.246,-4.576,0,63.0,0.209,121.054,4,2wJJNgD6GrKoQ435VxTRv6,MAYDAY (feat. Ryo from Crystal Lake),0.488
1060,Strength to Draw the Line,Jasta,168164,0.994,,0.0,6,0.39,-3.38,1,43.0,0.204,184.932,4,5Tuyx5F52gMpUr5CdH8Awg,Strength to Draw the Line,0.154
1061,Steh auf,Lindemann,184680,0.958,,5.94e-05,4,0.0589,-4.05,0,48.0,0.0427,74.982,4,1GDl9OOKwfxVDV8jh6zce9,Steh auf,0.486
1062,Burn,Lionheart,167145,0.962,,0.0,6,0.27,-4.662,1,0.0,0.101,131.388,4,2yHGJi1DW6Tii8ZpACIPuX,Burn,0.427
1063,Protection,Alcest,349969,0.901,,0.806,6,0.035,-8.03,1,0.0,0.0562,145.627,3,44BNyVL3bgEMxwpn0cQ3Yo,Protection,0.171
1064,Counterfeit,Wolves At The Gate,172733,0.977,,0.0,1,0.591,-3.535,1,37.0,0.0506,95.009,4,0nER4VGgRAjyxtM9f1H43I,Counterfeit,0.333
1065,Heart of the Hurricane,Beyond The Black,219998,0.833,,0.0,2,0.294,-5.743,0,0.0,0.0422,140.005,4,61rja0EnFEZOFAZHtwXs0Q,Heart of the Hurricane,0.334
1066,TRAUMA,I Prevail,153613,0.945,,0.0,1,0.724,-4.399,1,66.0,0.0531,135.128,4,6Q1m1GyNxyOwZ2ud3p7XoS,Gasoline,0.545
1067,The Sea of Tragic Beasts,Fit For An Autopsy,264653,0.944,,5.14e-06,9,0.09,-3.659,1,14.0,0.105,134.996,4,5iPOWL8tXmT5iONZ5FZQMG,The Sea of Tragic Beasts,0.117
1068,/with_errors,Norma Jean,239992,0.855,,0.000274,6,0.0979,-5.469,0,33.0,0.0637,175.415,4,3G8FDk7KzpPSCMYZewaGGC,/with_errors,0.0875
1069,Wouldn’t You Rather,Alter Bridge,229940,0.967,,0.873,1,0.274,-4.781,1,0.0,0.0911,107.992,4,7GkFMI88sfEoOzy6IPZtUk,Wouldn’t You Rather,0.228
1070,A Different Shade of Blue,Knocked Loose,219592,0.94,,1.31e-05,4,0.24,-3.341,1,50.0,0.101,142.804,4,1STzQvlMovhX8WOn8TcKmZ,Mistakes Like Fractures,0.152
1071,Metal Galaxy,BABYMETAL,210679,0.941,,0.0168,8,0.409,-2.326,1,44.0,0.077,97.498,4,6lOo2zRCRpwgQwpPrIXTIo,Kagerou,0.282
1072,Human Target,Thy Art Is Murder,181097,0.979,,0.0,4,0.0752,-3.296,0,28.0,0.161,140.03,4,70TLs0LJ6hG2m7lq21kqdV,New Gods,0.0582
1073,TRAUMA,I Prevail,242680,0.959,,6.54e-06,0,0.707,-4.95,1,68.0,0.0525,155.01,4,5qD3Qv8Wu3r5uRD0DahcZy,Bow Down,0.372
1074,World War X,Carnifex,287794,0.946,,0.0147,5,0.361,-5.612,1,0.0,0.105,112.503,4,6RoZ1WwsmCozJIE6NlNL42,No Light Shall Save Us (feat. Alissa White-Gluz),0.0675
1075,Burn It Down,Silverstein,190000,0.97,,0.0,7,0.0703,-3.604,0,50.0,0.179,164.069,4,21iym8UpADqnG2p5GrzHrb,Burn It Down,0.556
1076,Eye of God,ERRA,212375,0.979,,0.00984,8,0.165,-3.11,0,50.0,0.182,120.012,4,2x0BR7Ct3NIDlTGUZcF4ia,Eye of God,0.311
1077,Harbinger,Arrival Of Autumn,231840,0.98,,0.0519,8,0.589,-4.507,1,0.0,0.102,135.002,4,4BdJEyWFrF1H8WeUS4GC1T,Witness,0.372
1078,The Door to Doom,Candlemass,402520,0.708,,0.315,6,0.255,-5.399,1,39.0,0.0508,104.798,4,0bYPxDl2zggPeIeBLLciUa,Astorolus - the Great Octopus,0.208
1079,Northern Chaos Gods,Immortal,554863,0.993,,0.631,4,0.0946,-5.581,0,0.0,0.0944,104.987,4,4d2Jq3GvOsfsp5zZvYq5Zy,Mighty Ravendark,0.0474
1080,A New Kind of Horror,Anaal Nathrakh,209100,0.997,,0.019,11,0.147,-4.928,1,49.0,0.19,150.036,4,38XmF28XW6a7g44JhZdsDT,Forward!,0.0314
1081,Melancholy,Shadow of Intent,296327,0.988,,0.371,2,0.724,-3.6,1,49.0,0.202,109.986,4,5LoE9oTVlb2x59rKfkyyTZ,Barren and Breathless Macrocosm,0.0711
1082,In Cauda Venenum,Opeth,396053,0.734,,0.366,4,0.734,-8.907,0,0.0,0.0551,120.092,4,0MWUTDCYehLL0BT39Cx2Vi,Dignity,0.126
1083,The Sound of Scars,Life Of Agony,229347,0.83,,0.391,4,0.207,-5.462,0,32.0,0.0269,115.966,4,256td7avGUzegKnaUavckM,Lay Down,0.388
1084,Lotus,Soen,368188,0.871,,0.019,9,0.0291,-7.041,0,49.0,0.0529,110.023,4,2mijuiOFHf4EJcS2QpUkrn,Martyrs,0.235
1085,In Darkness,Varials,157653,0.988,,0.172,1,0.404,-2.74,0,42.0,0.153,87.743,3,0Y7kbZ3s7AYKGc0N8BJngA,In Darkness,0.109
1086,Black Mamba,Alpha Wolf,210937,0.996,,0.0982,11,0.382,-2.54,0,46.0,0.218,160.01,4,2Vda137vDixonkWOjpKPHH,Black Mamba,0.383
1087,Helix,Crystal Lake,312468,0.96,,0.000196,1,0.0954,-5.094,1,0.0,0.121,98.059,4,7fFb8tJU5thmLGP1ZKqLxw,Apollo,0.177
1088,Sin-Decade,Pretty Maids,315000,0.873,,0.0679,1,0.213,-7.197,0,47.0,0.0357,120.047,4,77ZIkT6DwOXP3RCU2nqNJq,Please Don't Leave Me,0.52
1089,Images and Words,Dream Theater,263120,0.614,,1.16e-05,11,0.0936,-10.41,1,56.0,0.0302,140.56,4,69kZsoRrSf7GBTSdJ4BjqA,Another Day,0.343
1090,Streets - A Rock Opera (2011 Edition),Savatage,342427,0.508,,0.000894,0,0.0855,-9.564,1,39.0,0.0409,62.473,4,6jCA4rJ4caeRuyTxvf9UvA,Believe,0.118
1091,Heartbreak Station,Cinderella,268840,0.51,,0.0539,7,0.0554,-9.5,1,52.0,0.0283,114.729,4,71cWHhV018hztNkCC45Ayo,Heartbreak Station,0.288
1092,"Maybe It’s Time (feat. Corey Taylor, Joe Elliott, Brantley Gilbert, Ivan Moody, Slash, AWOLNATION, Tommy Vext)",Sixx:A.M.,254201,0.781,,0.0,0,0.185,-5.148,1,60.0,0.0377,145.06,4,1rptK1oec3gjHpzzrxHyln,"Maybe It’s Time (feat. Corey Taylor, Joe Elliott, Brantley Gilbert, Ivan Moody, Slash, AWOLNATION, Tommy Vext)",0.201
1093,F8,Five Finger Death Punch,190718,0.828,,0.0,0,0.294,-6.053,1,72.0,0.0404,103.985,4,6GqqGv8frU7kqzXkm2rewI,A Little Bit Off,0.82
1094,Evolution,Disturbed,303613,0.637,,0.0,10,0.0702,-5.433,1,55.0,0.025,149.979,3,7tDwiOA86rkQWR1E1TPpgD,Hold on to Memories,0.469
1095,Set Me Free,Avenged Sevenfold,381201,0.661,,6.42e-05,6,0.0499,-7.293,1,57.0,0.0311,139.983,4,2IrdmiRatVE5s3l2YRcIXH,Set Me Free,0.213
1096,Ordinary Man (feat. Elton John),Ozzy Osbourne,301730,0.599,,9.86e-06,4,0.137,-2.135,1,61.0,0.0286,125.83,4,6eEYGGFfFbtKHCgJM4uh9v,Ordinary Man (feat. Elton John),0.134
1097,The Sacrament of Sin,Powerwolf,253760,0.689,,0.00106,5,0.108,-5.118,0,43.0,0.0336,135.873,4,0YrUDBOsnIiUNISpGOtwCA,Where the Wild Wolves Have Gone,0.233
1098,Flawed Design,Saint Asonia,272418,0.875,,2.79e-06,9,0.298,-4.709,0,43.0,0.0752,160.015,4,6BBopbfKX7d4fKFnn4E01A,Ghost,0.142
1099,N.A.T.I.O.N.,Bad Wolves,202062,0.754,,0.0,7,0.112,-6.998,0,51.0,0.0395,123.096,4,6ET1rcwgcuAepq5b2ZUu7F,Better Off This Way,0.169
1100,Ire (Deluxe Edition),Parkway Drive,240631,0.923,,3.2e-06,6,0.196,-3.996,0,47.0,0.0542,155.119,3,6V68CLsCg05KRTX1MgTC2V,A Deathless Song (feat. Jenna McDougall),0.624
1101,Believe,Disturbed,236600,0.283,,0.0483,3,0.12,-13.229,0,42.0,0.0306,172.029,3,5aUtonvQxGEL8T1rKI3J01,Darkness,0.0697
1102,"The Wrong Side Of Heaven And The Righteous Side Of Hell, Volume 1",Five Finger Death Punch,271000,0.932,,0.0,4,0.337,-4.592,0,67.0,0.083,149.992,4,11Ojp7JniVvwd0gmgvyKkd,Wrong Side of Heaven,0.543
1103,RAMMSTEIN,Rammstein,154299,0.272,,2.37e-05,0,0.102,-11.841,0,60.0,0.0375,140.506,4,1UZs9dauJnxrqYxMIzxnwC,DIAMANT,0.122
